1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
"[227, 177, 'a']","[229, 188, 'a']","[240, 213, 'a']","[248, 225, 'a']","[275, 243, 'a']","[290, 262, 'a']","[297, 272, 'a']","[273, 263, 'a']","[254, 238, 'a']","[249, 233, 'a']","[240, 213, 'a']","[236, 195, 'a']","[233, 190, 'a']","[237, 190, 'a']","[258, 205, 'a']","[264, 213, 'a']","[287, 227, 'a']","[299, 104, 'a']","[309, 112, 'a']","[341, 153, 'a']","[353, 186, 'a']","[370, 219, 'a']","[393, 245, 'a']","[364, 224, 'a']","[350, 192, 'a']","[332, 174, 'a']","[319, 149, 'a']","[300, 124, 'a']","[315, 125, 'a']","[344, 159, 'a']","[355, 180, 'a']","[378, 214, 'a']","[404, 228, 'a']","[412, 233, 'a']","[374, 208, 'a']","[364, 195, 'a']","[359, 176, 'a']","[345, 155, 'a']","[343, 149, 'a']","[328, 135, 'a']","[323, 130, 'a']","[347, 209, 'a']","[308, 167, 'a']","[367, 174, 'a']","[348, 175, 'a']","[346, 173, 'a']","[332, 157, 'a']","[326, 143, 'a']","[304, 125, 'a']","[306, 136, 'a']"
"[376, 225, 'b']","[378, 233, 'b']","[392, 248, 'b']","[399, 260, 'b']","[413, 277, 'b']","[424, 284, 'b']","[402, 265, 'b']","[393, 249, 'b']","[385, 229, 'b']","[385, 222, 'b']","[422, 264, 'b']","[434, 269, 'b']","[415, 238, 'b']","[415, 238, 'b']","[403, 231, 'b']","[317, 252, 'b']","[332, 275, 'b']","[342, 294, 'b']","[362, 314, 'b']","[371, 325, 'b']","[380, 334, 'b']","[347, 320, 'b']","[331, 309, 'b']","[307, 280, 'b']","[293, 261, 'b']","[308, 268, 'b']","[341, 301, 'b']","[357, 320, 'b']","[371, 336, 'b']","[382, 348, 'b']","[350, 351, 'b']","[331, 327, 'b']","[318, 301, 'b']","[316, 272, 'b']","[308, 252, 'b']","[291, 243, 'b']","[283, 234, 'b']","[320, 256, 'b']","[363, 289, 'b']","[388, 321, 'b']","[407, 350, 'b']","[395, 361, 'b']","[364, 351, 'b']","[346, 329, 'b']","[319, 293, 'b']","[352, 275, 'b']","[400, 257, 'b']","[424, 270, 'b']","[436, 284, 'b']","[438, 289, 'b']"
"[454, 308, 'c']","[453, 309, 'c']","[469, 329, 'c']","[534, 390, 'c']","[579, 450, 'c']","[569, 440, 'c']","[550, 419, 'c']","[521, 393, 'c']","[510, 381, 'c']","[485, 337, 'c']","[469, 307, 'c']","[468, 304, 'c']","[491, 326, 'c']","[534, 378, 'c']","[557, 399, 'c']","[591, 443, 'c']","[570, 428, 'c']","[501, 370, 'c']","[480, 352, 'c']","[477, 347, 'c']","[463, 331, 'c']","[479, 320, 'c']","[535, 349, 'c']","[590, 419, 'c']","[593, 428, 'c']","[575, 396, 'c']","[569, 388, 'c']","[528, 363, 'c']","[512, 345, 'c']","[511, 346, 'c']","[589, 417, 'c']","[598, 435, 'c']","[616, 470, 'c']","[606, 458, 'c']","[572, 425, 'c']","[562, 403, 'c']","[554, 387, 'c']","[516, 357, 'c']","[492, 306, 'c']","[485, 298, 'c']","[507, 319, 'c']","[517, 323, 'c']","[601, 426, 'c']","[622, 447, 'c']","[633, 461, 'c']","[647, 476, 'c']","[656, 486, 'c']","[656, 496, 'c']","[648, 505, 'c']","[620, 486, 'c']"
